Judul,Pengarang,Tahun,Kategori
Warna-warni Belajar Daring,"Evelyn Rismita S., dkk; Novita Dwi N.",2020,Non Fiksi
Pelukan Hangat Untukmu Para Pejuang Luka,"Rayza Ilfie Azkya A., Nashra Tibrisna, Shita Resti M., Alyssa Putri Nurochim",2024,Non Fiksi
Urgensi Pancasila dalam Pembangunan Bangsa,"Syainahtul Apriyani, Taufik Kurohman, Giri Satrio, Irma Lestari",2024,Non Fiksi
IT GOVERNANCE,"Yuniana Cahyaningrum, S.Kom., M.Kom., dkk.",2024,Non Fiksi
Pemrograman python,"Jajang Rahmatudin, M.Pd.; Sumliyah, M.Pd.",2024,Non Fiksi
DIGITAL MARKETING FOR BEGINNERS,"Asep Saeful Millah Adi Susanto Urika, SE., MM. Muhammad Rifqi Nur Wachid Adi P. Fabriyan Fandi Dwi Imaniawan",2024,Non Fiksi
ISU-ISU GLOBAL DALAM PENDIIDIKAN,"Dr. Baharudidin, M.Pd.",2024,Non Fiksi
Nanoteknologi di Bidang Ortodontik,"Prof. Dr. drg Noengki Prameswari, drg., M.Kes.",2024,Non Fiksi
Teori Statistik Dasar,"Darmawan Harefa, Elisabeth Stefani Gaurifa, Menni Asria Duha, Sri Santi Gulo, Rolius Fatemaluo",2023,Non Fiksi
Menilik Peran Media dibalik Fenomena Islamophobia,"Abul Nizam Al-ZanZami, dkk",2018,Non Fiksi
In Cold Blood,Truman Capote,1996,Non Fiksi
This House of Grif,Helen Garner,2014,Non Fiksi
"Into the Silence: The Great War, Mallory and the Conquest of Everest",Wade Davis,2011,Non Fiksi
Peacemakers: The Paris Peace Conference of 1919 and Its Attempt to End War,Margaret MacMillan,2001,Non Fiksi
??? ??? (Please Look After Mom) ,Shin Kyung-sook,2011,Non Fiksi
?? ??? ???? ?? ?? (I Want to Die but I Want to Eat Tteokbokki) ,Baek Sehee,2018,Non Fiksi
The Things You Can See Only When You Slow Down: How to Be Calm and Mindful in a Fast-Paced World,Haemin,2012,Non Fiksi
Love for Imperfect Things: How to Accept Yourself in a World Striving for Perfection,Haemin,2016,Non Fiksi
The Anatomy of Self,Takeo Doi,1986,Non Fiksi
Catatan Hati untuk Pasangan Hati,Dedy Irawan el-Qayim,2021,Non Fiksi
Luka paling ikhlas,Rachmat Budianto,2024,Non Fiksi
From Employee to Enterpreneur,Yassin,2024,Non Fiksi
Sejarah Pencegahan dan Pengendalian Infeksi (PPI) dan HIV Mendukung Akreditasi Puskesmas,Ferizal,2021,Non Fiksi
True Story: Muridku Guru Terbaikku,Ninuk Budiarini,2014,Non Fiksi
Konsep Dasar dan Aplikasi Program Smart PLS 4,"Dr. Helwen Heri, S.Kom., M.M.; Iklil A. Zahran",2024,Non Fiksi
Strategi Intervensi Multilayanan Bagi Pemerlu Pelayanan Kesejahteraan Sosial,"Maurellin, dkk.",2024,Non Fiksi
Tribute to Michael Hart,Majid AlHydar,2013,Non Fiksi
KOMUNIKASI LINTAS BUDAYA DALAM ERA GEN ALPHA,"Drs. Nasaruddin Siregar, M.Si; Dra. Sari Endah Nursyamsi, MM",2024,Non Fiksi
BAHASA INDONESIA UNTUK PERGURUAN TINGGI,"Riadi Suhendra, M.Pd.; Rini Qurratul Aini, M.Pd.; Abdul Rahim, M.Pd.",2024,Non Fiksi
Algoritma Pemrograman,Sigit Susanto Putro; Devie Rosa Anamisa; Fifin Ayu Mufarroha,2022,Non Fiksi
Buku Pintar Komputer dari Nol hingga Mahir,J.COM,2017,Non Fiksi
Apa Google SEO Itu?,Elcom,2023,Non Fiksi
Mudah Menjadi Programmer Visual Basic,Abdul Kadir,2018,Non Fiksi
Kalkulus Dasar,Jack Widjajakusuma,2024,Non Fiksi
Konsep Dasar Teori Peluang,Jitu Halomoan Lumban Toruan,2022,Non Fiksi
Statistik matematika,"Drs. Sujiran, M.Pd.",2023,Non Fiksi
Seri Pengayaan Pembelajaran Matematika: Bangun Ruang,Miyanto,2019,Non Fiksi
Persamaan diferensial,Yanty M. Marbun; Herna Febrianty Sianipar,2021,Non Fiksi
Histori Matematika,R. J. Iswanto,2022,Non Fiksi
Teka Teki Asyik dengan Matematika,Yopi Sartika,2021,Non Fiksi
Eksplorasi dan Visualisasi Data Menggunakan Phyton Jilid 1,Budi Aribowo,2023,Non Fiksi
Meneropong Praktik Public Relations di Indonesia dengan Teori dan Riset,Rachmat Kriyantono,2018,Non Fiksi
PENTINGNYA ETIKA DALAM BERKOMUNIKASI,"Selviana Veronika Moruk S. Sos, M.I.Kom",2024,Non Fiksi
Ilmu komunikasi suatu pengantar,Prof. Dr. Deddy Mulyana,2023,Non Fiksi
SOSIAL MEDIA MARKETING UNTUK UMKM,"Andry Mochamad Ramdan, S.Ikom., MBA; Muhammad Yusuf, S.Sos., M.M",2024,Non Fiksi
Chicken Soup for the Soul: Kekuatan Memaafkan,"Amy Newmark, Anthony Anderson",2020,Non Fiksi
Jangan Lelah Berproses,Dwi Indra Purnomo,2020,Non Fiksi
Buletin LEMBARAN Vol. V No. 4 April 2025: Perempuan dalam Naskah Kuno,Tim Redaksi LEMBARAN,2025,Non Fiksi
Teori Hukum (Dogma-Teori-Filsafat),"Dr. Iwan Erar Joesoef, S.H., Sp.N., M.Kn.",2021,Non Fiksi
Teori-teori Besar Dalam Hukum Grand Theory,"DR. Munir Fuady, S.H., M.H. LL.M.",2013,Non Fiksi
