Judul,Pengarang,Tahun,Kategori
Harry Potter dan Batu Bertuah,J. K. Rowling,1997,Fiksi
Harry Potter dan Kamar Rahasia,J. K. Rowling,1998,Fiksi
Harry Potter dan Tawanan Azkaban,J. K. Rowling,1999,Fiksi
Harry Potter dan Piala Api,J. K. Rowling,2000,Fiksi
Harry Potter dan Orde Phoenix,J. K. Rowling,2003,Fiksi
Harry Potter dan Pangeran Berdarah Campuran,J. K. Rowling,2005,Fiksi
Harry Potter dan Relikui Kematian,J. K. Rowling,2007,Fiksi
Little Women,Louisa May Alcott,1868,Fiksi
Good Wives,Louisa May Alcott,1869,Fiksi
Little Men,Louisa May Alcott,1871,Fiksi
Jo’s Boy,Louisa May Alcott,1886,Fiksi
Laut Bercerita,Leila S. Chudori,2017,Fiksi
Rama dan Sinta,Pitoyo Amrih,1975,Fiksi
Laskar Pelangi,Andrea Hirata,2005,Fiksi
Hujan,Tere Liye,2016,Fiksi
Bumi Manusia,Pramoedya Ananta Toer,1980,Fiksi
Mariposa,Luluk HF,2018,Fiksi
Negeri Para Pedebah,Tere Liye,2012,Fiksi
Negeri di Ujung Tanduk,Tere Liye,2013,Fiksi
Pulang,Tere Liye,2015,Fiksi
Pergi,Tere Liye,2018,Fiksi
Pulang-Pergi,Tere Liye,2024,Fiksi
Sang Pemimpi,Andrea Hirata,2006,Fiksi
Jejak Langkah,Pramoedya Ananta Toer,1985,Fiksi
Ivanna Van Dijk,Risa Saraswati,2018,Fiksi
Negeri 5 Menara,Ahmad Fuadi,2009,Fiksi
5 cm,Donny Dhirgantoro,2005,Fiksi
A untuk Amanda,Annisa Ihsani,2016,Fiksi
Cantik Itu Luka,Eka Kurniawan,2002,Fiksi
Gadis Kretek,Ratih Kumala,2012,Fiksi
Dunia Sophie,Jostein Gaarder,1991,Fiksi
Tujuh Kelana,Nellaneva,2020,Fiksi
"5 cm (Aku, Kamu, Samudera, dan Bintang-Bintang)",Donny Dhirgantoro,2020,Fiksi
Aroma Karsa,Dee Lestari,2018,Fiksi
Once Upon a Time,Dheyamela,2019,Fiksi
The Chronicles of Narnia (The Magician’s Nephew),C. S. Lewis,1955,Fiksi
"The Chronicles of Narnia (The Lion, The Witch, and The Wardrobe)",C. S. Lewis,1950,Fiksi
The Chronicles of Narnia (The Horse and His Boy),C. S. Lewis,1954,Fiksi
The Chronicles of Narnia (Prince Caspian),C. S. Lewis,1951,Fiksi
The Chronicles of Narnia (The Voyage and The Dawn Treader),C. S. Lewis,1952,Fiksi
The Chronicles of Narnia (The Silver Chair),C. S. Lewis,1953,Fiksi
The Chronicles of Narnia (The Last Battle),C. S. Lewis,1956,Fiksi
Negeri van Oranje,Wahyuningrat,2009,Fiksi
Tentang Kamu,Tere Liye,2016,Fiksi
In a Blue Moon,Ilana Tan,2015,Fiksi
Ubur-Ubur Lembur,Raditya Dika,2018,Fiksi
Jalan Pulang,Maria Hartiningsih,2017,Fiksi
Pulang,Leila S. Chudori,2013,Fiksi
Saman,Ayu Utami,1998,Fiksi
Larung,Ayu Utami,2001,Fiksi
